Departamentos;Muestras Claro;Muestras Personal;Muestras Movistar;THP Claro;THP Personal;THP Movistar;Latencia Claro;Latencia Mejor;Intensidad Claro;Intensidad Mejor;Tiempo IyV Claro;Tiempo IyV Mejor;Departamento;Provincia;Periodo
Silípica, SANTIAGO DEL ESTERO;79,500;459,000;255;9.96;14;--;73;73;-107;-95;67;67;Silípica;SANTIAGO DEL ESTERO;03/2024
General San Martín, BUENOS AIRES;10,000,000;15,100,000;14,200,000;14.33;15.14;10.87;54;54;-100;-98;46;46;General San Martín;BUENOS AIRES;03/2024
Guaminí, BUENOS AIRES;657,000;98,800;507,000;16.05;18.73;13.83;63;63;-101;-96;53;53;Guaminí;BUENOS AIRES;03/2024
Maracó, LA PAMPA;2,280,000;230,000;1,890,000;14.35;17.86;13.27;65;61;-99;-99;56;53;Maracó;LA PAMPA;03/2024
Tilcara, JUJUY;231,000;2,730,000;4,720;4.54;8.51;3.62;106;96;-104;-99;124;98;Tilcara;JUJUY;03/2024
Rosario Vera Peñaloza, LA RIOJA;75,400;915,000;184;1.76;20.41;--;689;59;-93;-93;694;50;Rosario Vera Peñaloza;LA RIOJA;03/2024
Conesa, RÍO NEGRO;194,000;81,700;649,000;15.93;16.74;11.34;60;60;-92;-89;51;51;Conesa;RÍO NEGRO;03/2024
Andalgalá, CATAMARCA;259,000;3,210,000;1,400;17.56;12.97;4.10;68;68;-101;-101;56;56;Andalgalá;CATAMARCA;03/2024
Tafí Viejo, TUCUMÁN;7,210,000;14,000,000;1,810,000;12.20;14.85;7.77;75;63;-100;-100;68;59;Tafí Viejo;TUCUMÁN;03/2024
Rosario de la Frontera, SALTA;586,000;3,620,000;38,800;9.76;9.90;10.99;85;85;-103;-102;80;80;Rosario de la Frontera;SALTA;03/2024
Los Lagos, NEUQUÉN;1,040,000;246,000;2,100,000;7.75;8.50;9.19;95;95;-103;-98;96;96;Los Lagos;NEUQUÉN;03/2024
Choya, SANTIAGO DEL ESTERO;2,500,000;2,750,000;235,000;10.73;14.51;8.88;73;69;-98;-98;69;65;Choya;SANTIAGO DEL ESTERO;03/2024
La Poma, SALTA;56,700;16,200;--;1.43;0.47;--;953;953;-92;-89;888;869;La Poma;SALTA;03/2024
La Candelaria, SALTA;101,000;1,510,000;143;9.31;9.58;--;80;80;-104;-97;71;71;La Candelaria;SALTA;03/2024
Corpen Aike, SANTA CRUZ;733,000;109,000;1,050,000;11.65;11.28;9.37;88;88;-103;-96;78;78;Corpen Aike;SANTA CRUZ;03/2024
Punta Indio, BUENOS AIRES;317,000;118,000;8,160;18.22;24.84;14.64;52;48;-103;-97;43;39;Punta Indio;BUENOS AIRES;03/2024
General José de San Martín, SALTA;5,510,000;17,300,000;418,000;9.97;12.15;9.12;106;79;-100;-99;98;76;General José de San Martín;SALTA;03/2024
Paclín, CATAMARCA;156,000;325,000;739;8.71;17.69;16.45;198;62;-104;-88;170;56;Paclín;CATAMARCA;03/2024
Laprida, BUENOS AIRES;290,000;3,350;598,000;11.50;10.21;10.69;74;72;-102;-99;67;63;Laprida;BUENOS AIRES;03/2024
Coronel Dorrego, BUENOS AIRES;393,000;315,000;1,230,000;17.04;19.11;11.14;62;59;-101;-100;52;50;Coronel Dorrego;BUENOS AIRES;03/2024
San Ignacio, MISIONES;943,000;3,080,000;33,600;14.90;12.14;14.77;74;74;-100;-100;65;63;San Ignacio;MISIONES;03/2024
Río Segundo, CÓRDOBA;5,890,000;2,150,000;216,000;14.47;19.56;12.01;63;55;-100;-99;56;48;Río Segundo;CÓRDOBA;03/2024
Itatí, CORRIENTES;388,000;1,540,000;744;12.64;10.11;8.58;78;74;-102;-99;70;69;Itatí;CORRIENTES;03/2024
Exaltación de la Cruz, BUENOS AIRES;2,350,000;1,060,000;1,270,000;10.20;13.37;12.91;68;57;-103;-103;65;50;Exaltación de la Cruz;BUENOS AIRES;03/2024
Pomán, CATAMARCA;585,000;1,880,000;1,890;14.18;10.87;12.26;70;70;-102;-90;61;61;Pomán;CATAMARCA;03/2024
Maipú, CHACO;181,000;1,780,000;345;14.54;10.19;--;76;74;-102;-98;66;66;Maipú;CHACO;03/2024
Loncopué, NEUQUÉN;95,300;20,400;730,000;1.64;1.79;4.14;972;753;-94;-94;910;758;Loncopué;NEUQUÉN;03/2024
Tandil, BUENOS AIRES;3,130,000;3,380,000;3,900,000;12.56;13.23;9.79;72;68;-102;-102;65;62;Tandil;BUENOS AIRES;03/2024
Sobremonte, CÓRDOBA;105,000;292,000;--;15.37;22.30;--;61;54;-102;-99;52;46;Sobremonte;CÓRDOBA;03/2024
Presidente Roque Sáenz Peña, CÓRDOBA;1,660,000;1,090,000;6,290;11.95;18.27;9.76;80;64;-100;-100;72;56;Presidente Roque Sáenz Peña;CÓRDOBA;03/2024
San Carlos, MENDOZA;2,150,000;564,000;754,000;9.61;15.12;10.22;84;76;-104;-103;81;68;San Carlos;MENDOZA;03/2024
Nogoyá, ENTRE RÍOS;662,000;1,950,000;8,690;11.33;12.03;12.46;87;68;-105;-102;80;61;Nogoyá;ENTRE RÍOS;03/2024
Matacos, FORMOSA;379,000;2,370,000;205;13.17;3.54;--;78;73;-95;-95;69;69;Matacos;FORMOSA;03/2024
Monteros, TUCUMÁN;2,660,000;2,550,000;93,200;13.33;16.72;11.06;74;63;-98;-98;66;56;Monteros;TUCUMÁN;03/2024
Río Cuarto, CÓRDOBA;11,400,000;9,600,000;855,000;13.45;17.35;10.03;69;58;-100;-100;61;51;Río Cuarto;CÓRDOBA;03/2024
Florencio Varela, BUENOS AIRES;10,700,000;8,410,000;14,700,000;11.62;14.29;10;63;61;-102;-102;59;56;Florencio Varela;BUENOS AIRES;03/2024
General Roca, RÍO NEGRO;16,400,000;6,420,000;21,600,000;11.42;11.74;10.89;76;76;-101;-101;69;69;General Roca;RÍO NEGRO;03/2024
Albardón, SAN JUAN;484,000;756,000;378,000;12.61;15.23;8.96;81;72;-105;-101;73;64;Albardón;SAN JUAN;03/2024
Atamisqui, SANTIAGO DEL ESTERO;56,600;658,000;391;13.22;10.10;--;61;61;-94;-94;53;53;Atamisqui;SANTIAGO DEL ESTERO;03/2024
Lago Argentino, SANTA CRUZ;1,630,000;287,000;1,070,000;8.22;8.15;9.58;105;100;-101;-101;102;97;Lago Argentino;SANTA CRUZ;03/2024
Libertad, CHACO;382,000;968,000;41,700;12.50;11.44;15.81;85;68;-106;-102;78;58;Libertad;CHACO;03/2024
Formosa, FORMOSA;9,740,000;22,700,000;632,000;9.73;9.92;11.89;88;75;-99;-98;84;70;Formosa;FORMOSA;03/2024
Leandro N. Alem, BUENOS AIRES;792,000;112,000;360,000;15.23;15.82;13.99;64;63;-101;-98;55;55;Leandro N. Alem;BUENOS AIRES;03/2024
Coronel Pringles, BUENOS AIRES;236,000;179,000;1,850,000;14.97;18.30;8.25;71;60;-102;-102;60;51;Coronel Pringles;BUENOS AIRES;03/2024
Patiño, FORMOSA;1,240,000;9,410,000;18,500;14.57;7.98;13.74;78;68;-98;-89;69;63;Patiño;FORMOSA;03/2024
Ramallo, BUENOS AIRES;3,440,000;2,300,000;390,000;12.14;12.74;11.63;69;59;-103;-102;64;54;Ramallo;BUENOS AIRES;03/2024
Adolfo Alsina, BUENOS AIRES;183,000;181,000;1,360,000;17.22;16.16;10.85;67;67;-101;-99;56;56;Adolfo Alsina;BUENOS AIRES;03/2024
General Arenales, BUENOS AIRES;907,000;114,000;74,600;15.82;16.75;16.07;62;56;-101;-97;53;46;General Arenales;BUENOS AIRES;03/2024
San Lorenzo, CHACO;98,600;1,010,000;142;15.77;11.84;--;73;66;-100;-94;62;56;San Lorenzo;CHACO;03/2024
La Paz, ENTRE RÍOS;1,590,000;3,260,000;13,300;12.05;13.40;11.69;85;64;-100;-100;77;57;La Paz;ENTRE RÍOS;03/2024
General Ocampo, LA RIOJA;43,800;632,000;2,970;18.28;17.06;18.03;67;60;-94;-94;56;51;General Ocampo;LA RIOJA;03/2024
San Pedro, MISIONES;20,400;901,000;743;16.41;10.67;8.20;84;72;-101;-82;73;66;San Pedro;MISIONES;03/2024
El Alto, CATAMARCA;292,000;323,000;1,260;18.40;16.52;8.40;61;61;-96;-96;51;51;El Alto;CATAMARCA;03/2024
Sarmiento, CHUBUT;1,740,000;87,400;372,000;10.54;14.38;13.74;89;79;-99;-95;77;70;Sarmiento;CHUBUT;03/2024
Bariloche, RÍO NEGRO;5,410,000;2,420,000;13,800,000;11.64;16.31;10.19;81;70;-99;-99;73;61;Bariloche;RÍO NEGRO;03/2024
Junín, BUENOS AIRES;3,220,000;1,960,000;2,530,000;14.01;18.85;12.68;67;55;-98;-98;58;46;Junín;BUENOS AIRES;03/2024
Villaguay, ENTRE RÍOS;1,310,000;1,720,000;14,500;11.73;12.52;16.53;78;71;-101;-101;71;65;Villaguay;ENTRE RÍOS;03/2024
Rojas, BUENOS AIRES;1,270,000;642,000;814,000;10.04;15.69;11.58;67;60;-102;-102;64;52;Rojas;BUENOS AIRES;03/2024
Alberdi, SANTIAGO DEL ESTERO;32,400;1,290,000;2,070;11.94;11.23;7.25;80;80;-96;-87;73;73;Alberdi;SANTIAGO DEL ESTERO;03/2024
General Juan F. Quiroga, LA RIOJA;18,800;78,100;--;1.54;20.75;--;799;56;-94;-94;781;47;General Juan F. Quiroga;LA RIOJA;03/2024
Juan F. Ibarra, SANTIAGO DEL ESTERO;24,100;976,000;808;17.65;15.25;12.43;72;67;-102;-92;60;60;Juan F. Ibarra;SANTIAGO DEL ESTERO;03/2024
Tinogasta, CATAMARCA;338,000;4,550,000;6,550;1.46;9.46;10.19;1,242;88;-95;-95;1,144;86;Tinogasta;CATAMARCA;03/2024
La Paz, MENDOZA;635,000;151,000;24,700;9.22;16.12;7.80;99;70;-103;-101;93;60;La Paz;MENDOZA;03/2024
General Roca, CÓRDOBA;1,970,000;544,000;21,500;14.09;20.54;16.48;72;62;-98;-98;63;53;General Roca;CÓRDOBA;03/2024
Libertador General San Martín, CHACO;573,000;2,550,000;6,450;14.31;13.04;12.06;75;69;-98;-97;66;62;Libertador General San Martín;CHACO;03/2024
Huiliches, NEUQUÉN;1,420,000;248,000;888,000;8.02;10.21;13.12;98;81;-102;-98;96;76;Huiliches;NEUQUÉN;03/2024
San Cosme, CORRIENTES;1,160,000;1,270,000;43,900;13.83;13.35;15.79;76;67;-101;-98;67;59;San Cosme;CORRIENTES;03/2024
2 de Abril, CHACO;27,500;522,000;--;15.96;10.96;--;75;75;-97;-97;66;66;2 de Abril;CHACO;03/2024
Laishi, FORMOSA;204,000;1,360,000;6,490;12.02;12.63;15.52;81;70;-99;-97;72;59;Laishi;FORMOSA;03/2024
Punilla, CÓRDOBA;8,560,000;10,800,000;1,110,000;12.94;14.40;9.77;75;62;-102;-98;68;56;Punilla;CÓRDOBA;03/2024
Tres Lomas, BUENOS AIRES;403,000;3,200;73,400;14.47;14.33;6.57;62;62;-100;-94;53;53;Tres Lomas;BUENOS AIRES;03/2024
Juan Martín de Pueyrredón, SAN LUIS;13,500,000;3,230,000;15,100,000;11.07;13.93;9.53;90;75;-101;-99;83;66;Juan Martín de Pueyrredón;SAN LUIS;03/2024
Vinchina, LA RIOJA;31,700;222,000;2,970;14.05;16.18;1.54;82;60;-99;-98;70;50;Vinchina;LA RIOJA;03/2024
Uruguay, ENTRE RÍOS;2,090,000;5,880,000;762,000;11.89;11.29;11.01;77;67;-102;-102;71;59;Uruguay;ENTRE RÍOS;03/2024
Chacabuco, BUENOS AIRES;1,760,000;1,270,000;1,470,000;12.64;13.68;8.91;70;58;-102;-102;61;51;Chacabuco;BUENOS AIRES;03/2024
General Alvear, BUENOS AIRES;355,000;10,100;899,000;3.34;6.45;9.27;108;93;-103;-102;132;87;General Alvear;BUENOS AIRES;03/2024
Azul, BUENOS AIRES;3,700,000;2,040,000;1,820,000;12.11;16.99;10.34;73;60;-100;-100;64;52;Azul;BUENOS AIRES;03/2024
Roque Pérez, BUENOS AIRES;259,000;123,000;674,000;15.97;22.55;11.48;58;53;-104;-100;49;44;Roque Pérez;BUENOS AIRES;03/2024
Gualeguay, ENTRE RÍOS;3,340,000;4,110,000;40,700;10.17;10.07;10.73;76;73;-98;-98;70;69;Gualeguay;ENTRE RÍOS;03/2024
Utracán, LA PAMPA;730,000;3,590;885,000;14.89;19.91;7.59;69;67;-98;-86;59;59;Utracán;LA PAMPA;03/2024
Catamarca, CATAMARCA;7,750,000;8,210,000;1,230,000;12.77;14.56;10.27;77;66;-96;-96;69;60;Catamarca;CATAMARCA;03/2024
Tres Arroyos, BUENOS AIRES;1,960,000;1,050,000;1,960,000;14.29;16.03;7.85;69;66;-103;-102;60;59;Tres Arroyos;BUENOS AIRES;03/2024
San Alberto, CÓRDOBA;1,660,000;4,190,000;176,000;13.26;11.11;9.85;73;73;-102;-100;65;65;San Alberto;CÓRDOBA;03/2024
Belgrano, SAN LUIS;384,000;872;83,500;12.68;5.83;14.07;91;70;-98;-92;78;61;Belgrano;SAN LUIS;03/2024
Pergamino, BUENOS AIRES;3,800,000;2,350,000;1,860,000;11.36;11.27;6.22;70;70;-103;-103;65;65;Pergamino;BUENOS AIRES;03/2024
Godoy Cruz, MENDOZA;5,880,000;1,200,000;5,860,000;12.61;19.58;11.38;76;59;-100;-97;68;51;Godoy Cruz;MENDOZA;03/2024
Ushuaia, TIERRA DEL FUEGO;4,910,000;1,400,000;5,860,000;10.46;11.82;9.34;92;92;-95;-95;85;85;Ushuaia;TIERRA DEL FUEGO;03/2024
Pinamar, BUENOS AIRES;1,350,000;1,280,000;2,610,000;13.35;20.07;14.55;79;54;-101;-101;70;46;Pinamar;BUENOS AIRES;03/2024
Ñorquincó, RÍO NEGRO;--;--;1,850;--;--;8.15;704;135;-88;-88;804;122;Ñorquincó;RÍO NEGRO;03/2024
Daireaux, BUENOS AIRES;1,070,000;10,800;26,200;13.99;1.63;12.50;65;60;-102;-102;57;52;Daireaux;BUENOS AIRES;03/2024
Cainguás, MISIONES;353,000;2,750,000;2,300;12.34;9.27;9.50;92;87;-106;-101;82;82;Cainguás;MISIONES;03/2024
Puelén, LA PAMPA;1,080,000;3,990;170,000;9.32;8.35;9.69;98;98;-103;-97;93;91;Puelén;LA PAMPA;03/2024
Río Seco, CÓRDOBA;330,000;1,100,000;529;12.41;7.26;10.40;69;69;-97;-94;60;60;Río Seco;CÓRDOBA;03/2024
Mártires, CHUBUT;137;--;163;--;--;--;73;73;-96;-96;70;70;Mártires;CHUBUT;03/2024
Marcos Juárez, CÓRDOBA;5,090,000;3,610,000;73,300;14.02;18.57;11.38;65;59;-99;-99;57;52;Marcos Juárez;CÓRDOBA;03/2024
Chascomús, BUENOS AIRES;1,790,000;739,000;1,670,000;14.92;20.69;11.22;60;52;-100;-100;52;44;Chascomús;BUENOS AIRES;03/2024
General Pedernera, SAN LUIS;9,790,000;734,000;4,120,000;13.19;16.06;11.18;72;72;-100;-100;64;64;General Pedernera;SAN LUIS;03/2024
Paso de Indios, CHUBUT;32,400;--;144;1.40;--;--;1,092;87;-86;-86;976;90;Paso de Indios;CHUBUT;03/2024
Belgrano, SANTA FE;1,010,000;2,790,000;60,500;13.03;14.32;15.89;67;62;-101;-99;60;54;Belgrano;SANTA FE;03/2024
General Pinto, BUENOS AIRES;1,400,000;342,000;118,000;12.66;17.57;14.36;65;61;-97;-92;58;53;General Pinto;BUENOS AIRES;03/2024
Hipólito Yrigoyen, BUENOS AIRES;484,000;14,100;145,000;16.54;19.39;11.34;60;55;-100;-92;51;50;Hipólito Yrigoyen;BUENOS AIRES;03/2024
Ayacucho, SAN LUIS;1,110,000;25,300;390,000;9.29;6.51;8.82;84;84;-99;-98;82;82;Ayacucho;SAN LUIS;03/2024
General Belgrano, LA RIOJA;28,200;747,000;231;1.81;16.59;--;711;54;-93;-93;715;48;General Belgrano;LA RIOJA;03/2024
Garay, SANTA FE;604,000;1,800,000;5,900;11.02;10.18;6.78;70;70;-101;-100;65;65;Garay;SANTA FE;03/2024
Córdoba, CÓRDOBA;52,100,000;55,100,000;11,500,000;12.87;15.77;9.15;63;56;-98;-98;58;51;Córdoba;CÓRDOBA;03/2024
Languiñeo, CHUBUT;73,700;--;458;10.74;--;--;103;103;-95;-95;89;89;Languiñeo;CHUBUT;03/2024
Rosario de Lerma, SALTA;2,090,000;3,850,000;396,000;9.59;14.05;6.67;88;74;-104;-102;87;71;Rosario de Lerma;SALTA;03/2024
Quilmes, BUENOS AIRES;7,740,000;13,400,000;25,500,000;13.80;15.79;9.42;56;55;-101;-101;49;49;Quilmes;BUENOS AIRES;03/2024
San Javier, SANTA FE;230,000;2,930,000;509;12.90;6.56;10.74;71;61;-104;-99;64;58;San Javier;SANTA FE;03/2024
Montecarlo, MISIONES;573,000;2,030,000;2,440;13.67;9.15;13.39;81;81;-104;-102;72;72;Montecarlo;MISIONES;03/2024
Cafayate, SALTA;207,000;2,170,000;49,700;14.89;13.96;9.54;81;65;-99;-94;71;60;Cafayate;SALTA;03/2024
San Vicente, BUENOS AIRES;5,280,000;1,230,000;2,950,000;11.02;13.33;9.56;66;56;-103;-103;63;51;San Vicente;BUENOS AIRES;03/2024
25 de Mayo, RÍO NEGRO;81,200;10,300;1,460,000;2.53;12.64;9.76;634;89;-93;-84;665;80;25 de Mayo;RÍO NEGRO;03/2024
Junín, MENDOZA;2,280,000;1,080,000;790,000;11.90;13.49;12.16;78;72;-103;-101;71;65;Junín;MENDOZA;03/2024
San Martín, SAN JUAN;490,000;43,200;313,000;13.07;5.06;11.01;74;74;-101;-100;67;67;San Martín;SAN JUAN;03/2024
José C. Paz, BUENOS AIRES;7,080,000;10,700,000;10,600,000;15.40;15.29;8.60;53;53;-99;-97;45;45;José C. Paz;BUENOS AIRES;03/2024
San Justo, CÓRDOBA;8,010,000;4,710,000;93,200;14.99;18.49;12.90;65;59;-101;-99;57;51;San Justo;CÓRDOBA;03/2024
Merlo, BUENOS AIRES;9,880,000;13,300,000;18,200,000;15.12;16.22;9.30;54;53;-101;-100;46;46;Merlo;BUENOS AIRES;03/2024
Marcos Paz, BUENOS AIRES;884,000;1,460,000;2,640,000;11.35;12.88;7.48;69;61;-106;-105;67;54;Marcos Paz;BUENOS AIRES;03/2024
Tehuelches, CHUBUT;4,230;3,750;509,000;13.56;10.79;11.69;79;79;-81;-81;75;75;Tehuelches;CHUBUT;03/2024
9 de Julio, BUENOS AIRES;2,310,000;623,000;896,000;11.54;16.60;13.06;79;56;-99;-99;71;48;9 de Julio;BUENOS AIRES;03/2024
San Fernando, CHACO;10,200,000;23,800,000;2,970,000;11.02;13.65;12.48;83;61;-100;-99;76;55;San Fernando;CHACO;03/2024
Trenel, LA PAMPA;301,000;40,900;3,840;10.59;17.09;11.47;73;67;-98;-98;69;57;Trenel;LA PAMPA;03/2024
Dr. Manuel Belgrano, JUJUY;10,300,000;19,700,000;1,760,000;12.73;16.29;9.21;78;64;-98;-97;71;59;Dr. Manuel Belgrano;JUJUY;03/2024
Cerrillos, SALTA;1,560,000;3,590,000;423,000;12.76;12.58;9.58;79;75;-104;-99;71;71;Cerrillos;SALTA;03/2024
San Martín, SANTA FE;1,760,000;3,390,000;29,500;13.29;15.17;16.92;69;64;-103;-102;62;55;San Martín;SANTA FE;03/2024
Monte Caseros, CORRIENTES;2,010,000;1,470,000;14,200;10.29;13.58;10.70;87;68;-98;-96;80;61;Monte Caseros;CORRIENTES;03/2024
Libertador General San Martín, SAN LUIS;6,360;830;250;6.47;7.21;--;105;74;-110;-104;110;68;Libertador General San Martín;SAN LUIS;03/2024
General Las Heras, BUENOS AIRES;465,000;278,000;1,170,000;16.03;18.06;6.14;60;56;-107;-103;53;46;General Las Heras;BUENOS AIRES;03/2024
Lavalle, CORRIENTES;647,000;2,250,000;258;8.91;8.72;--;107;78;-103;-102;102;78;Lavalle;CORRIENTES;03/2024
Colón, CÓRDOBA;10,300,000;10,500,000;1,230,000;12.54;15.19;10.07;66;59;-102;-101;60;55;Colón;CÓRDOBA;03/2024
Ituzaingó, BUENOS AIRES;3,160,000;3,560,000;5,320,000;14.21;20.36;11.09;55;47;-99;-97;47;40;Ituzaingó;BUENOS AIRES;03/2024
Esquina, CORRIENTES;456,000;1,740,000;9,020;12.85;13.18;13.05;82;67;-102;-100;72;60;Esquina;CORRIENTES;03/2024
Tala, ENTRE RÍOS;625,000;1,820,000;60,400;12.93;13.96;14.35;81;69;-103;-102;72;62;Tala;ENTRE RÍOS;03/2024
Rawson, CHUBUT;8,870,000;586,000;9,070,000;11.65;15.84;11.74;77;73;-99;-98;70;64;Rawson;CHUBUT;03/2024
Collón Curá, NEUQUÉN;153,000;55,200;416,000;9.40;10.17;15.13;110;69;-92;-92;104;64;Collón Curá;NEUQUÉN;03/2024
Graneros, TUCUMÁN;611,000;690,000;456;12.78;16.70;8.71;80;66;-97;-97;71;60;Graneros;TUCUMÁN;03/2024
Hurlingham, BUENOS AIRES;3,680,000;3,880,000;4,550,000;14.32;18.27;9.77;53;51;-99;-97;45;44;Hurlingham;BUENOS AIRES;03/2024
La Pampa, LA PAMPA;5,250,000;415,000;2,790,000;12.14;18.66;11.94;72;60;-100;-100;64;51;La Pampa;LA PAMPA;03/2024
Chicoana, SALTA;586,000;2,410,000;94,800;14.95;14.10;10.07;74;74;-99;-99;65;65;Chicoana;SALTA;03/2024
General San Martín, CÓRDOBA;6,850,000;3,830,000;218,000;15.12;19.14;11.52;65;56;-99;-99;56;48;General San Martín;CÓRDOBA;03/2024
Caleu Caleu, LA PAMPA;325,000;100,000;250,000;16.43;13.25;12.38;66;66;-100;-97;55;55;Caleu Caleu;LA PAMPA;03/2024
Chimbas, SAN JUAN;1,120,000;1,180,000;3,220,000;14.58;17.25;11.02;73;64;-102;-98;64;56;Chimbas;SAN JUAN;03/2024
Moreno, BUENOS AIRES;14,300,000;18,000,000;25,500,000;14.04;15.27;9.84;56;56;-100;-100;49;49;Moreno;BUENOS AIRES;03/2024
El Carmen, JUJUY;5,670,000;4,150,000;530,000;12.22;12.72;9.37;82;76;-99;-99;74;72;El Carmen;JUJUY;03/2024
Lobos, BUENOS AIRES;1,470,000;289,000;749,000;12.27;17.09;8.79;64;55;-105;-104;58;47;Lobos;BUENOS AIRES;03/2024
Castelli, BUENOS AIRES;280,000;133,000;494,000;13.75;20.80;10.20;70;57;-100;-95;63;48;Castelli;BUENOS AIRES;03/2024
Famaillá, TUCUMÁN;1,080,000;3,120,000;38,800;9.51;12.43;8.15;99;69;-100;-96;93;67;Famaillá;TUCUMÁN;03/2024
Alberti, BUENOS AIRES;629,000;31,400;162,000;12.13;21.11;16.91;78;59;-100;-100;69;49;Alberti;BUENOS AIRES;03/2024
Arauco, LA RIOJA;282,000;1,890,000;2,710;11.89;10.01;16.22;78;67;-101;-72;70;62;Arauco;LA RIOJA;03/2024
Gastre, CHUBUT;16,800;--;--;1.51;--;--;839;839;-83;-83;795;795;Gastre;CHUBUT;03/2024
Colón, ENTRE RÍOS;2,220,000;3,450,000;764,000;11.78;12.95;14.40;78;67;-102;-102;72;58;Colón;ENTRE RÍOS;03/2024
San Antonio, JUJUY;199,000;299,000;5,180;12.99;8.34;7.98;85;85;-106;-106;76;76;San Antonio;JUJUY;03/2024
San Salvador, ENTRE RÍOS;600,000;620,000;609;12.55;14.89;16.38;78;65;-101;-99;71;56;San Salvador;ENTRE RÍOS;03/2024
Iglesia, SAN JUAN;82,900;3,060;944,000;3.89;10.43;10.63;594;84;-93;-93;611;79;Iglesia;SAN JUAN;03/2024
Río Senguer, CHUBUT;445,000;--;298,000;9.27;--;10.43;105;87;-96;-83;99;78;Río Senguer;CHUBUT;03/2024
La Rioja, LA RIOJA;12,300,000;9,350,000;1,630,000;13.28;15.54;10.55;72;63;-98;-98;65;56;La Rioja;LA RIOJA;03/2024
Simoca, TUCUMÁN;912,000;980,000;12,500;14.77;13.37;12.90;74;72;-98;-98;65;65;Simoca;TUCUMÁN;03/2024
Metán, SALTA;2,010,000;3,390,000;390,000;12.69;12.54;6.34;81;80;-101;-99;72;72;Metán;SALTA;03/2024
Leales, TUCUMÁN;1,520,000;3,860,000;16,300;13.54;13.42;8.73;77;68;-105;-105;69;65;Leales;TUCUMÁN;03/2024
General Juan Madariaga, BUENOS AIRES;390,000;348,000;2,110,000;13.24;19.77;11.37;79;55;-101;-101;71;46;General Juan Madariaga;BUENOS AIRES;03/2024
Cochinoca, JUJUY;88,600;1,030,000;653;14.17;11.52;10.52;79;77;-97;-93;68;68;Cochinoca;JUJUY;03/2024
San Martín, MENDOZA;5,010,000;2,370,000;2,260,000;11.41;10.49;10.52;80;76;-103;-102;73;72;San Martín;MENDOZA;03/2024
General Rodríguez, BUENOS AIRES;5,910,000;8,460,000;6,860,000;12.43;13.84;9.78;58;58;-102;-102;52;52;General Rodríguez;BUENOS AIRES;03/2024
Capayán, CATAMARCA;683,000;1,970,000;5,890;13.83;13.31;7.73;81;70;-100;-90;71;64;Capayán;CATAMARCA;03/2024
Olavarría, BUENOS AIRES;4,840,000;2,340,000;1,980,000;11.61;15.49;8.62;77;60;-102;-101;69;52;Olavarría;BUENOS AIRES;03/2024
Islas del Ibicuy, ENTRE RÍOS;1,050,000;2,300,000;20,600;9.73;6.87;9.42;90;84;-101;-100;83;72;Islas del Ibicuy;ENTRE RÍOS;03/2024
Berisso, BUENOS AIRES;491,000;1,930,000;3,500,000;15.14;17.32;9.78;56;56;-105;-105;47;47;Berisso;BUENOS AIRES;03/2024
Pila, BUENOS AIRES;333,000;36,400;2,260;12.42;20.77;9.20;60;57;-102;-102;54;49;Pila;BUENOS AIRES;03/2024
Lobería, BUENOS AIRES;499,000;140,000;835,000;15.09;13.84;9.63;66;65;-100;-100;58;57;Lobería;BUENOS AIRES;03/2024
Ledesma, JUJUY;5,260,000;6,880,000;295,000;11.29;15.24;9.95;84;74;-100;-100;77;68;Ledesma;JUJUY;03/2024
Las Flores, BUENOS AIRES;1,670,000;204,000;737,000;7.17;16.06;8.68;78;58;-103;-103;83;48;Las Flores;BUENOS AIRES;03/2024
General Güemes, CHACO;432,000;6,310,000;3,020;13.04;6.89;7.64;79;76;-104;-93;71;69;General Güemes;CHACO;03/2024
Lomas de Zamora, BUENOS AIRES;12,400,000;20,500,000;24,400,000;11.98;16.06;9.89;58;54;-101;-100;53;46;Lomas de Zamora;BUENOS AIRES;03/2024
La Plata, BUENOS AIRES;13,300,000;18,600,000;33,100,000;12.23;15.35;10.70;59;57;-103;-103;53;51;La Plata;BUENOS AIRES;03/2024
Campana, BUENOS AIRES;3,320,000;10,500,000;5,500,000;17.11;15.88;11.30;54;53;-102;-98;45;45;Campana;BUENOS AIRES;03/2024
Candelaria, MISIONES;354,000;2,710,000;103,000;12.98;10.79;14.02;76;75;-103;-100;67;67;Candelaria;MISIONES;03/2024
Rivadavia, BUENOS AIRES;800,000;232,000;562,000;15.78;16;8.86;62;62;-103;-101;53;53;Rivadavia;BUENOS AIRES;03/2024
Tunuyán, MENDOZA;3,550,000;877,000;964,000;9.16;15.07;10.84;83;72;-99;-99;79;63;Tunuyán;MENDOZA;03/2024
Maipú, MENDOZA;7,680,000;2,810,000;5,230,000;11.65;13;10.48;79;75;-101;-100;71;68;Maipú;MENDOZA;03/2024
San Roque, CORRIENTES;362,000;1,350,000;2,490;14.22;11.28;5.79;76;76;-97;-93;68;68;San Roque;CORRIENTES;03/2024
San Miguel, BUENOS AIRES;8,300,000;10,100,000;11,200,000;13.24;17.65;8.49;56;51;-101;-97;50;45;San Miguel;BUENOS AIRES;03/2024
Federación, ENTRE RÍOS;1,800,000;4,260,000;209,000;11.60;12.38;6.40;75;69;-103;-101;69;61;Federación;ENTRE RÍOS;03/2024
